"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Canvu Apps","0","0","Signup","0"
"0","","0","Canvu Apps","1","0","","0"
"0","","0","Login","1","0","","0"
"0","","0","QA Practice","1","0","Checkboxes","0"
"0","","0","QA Practice","1","0","Multi Select","0"
